Numero;Date;Type;Nombre;Montant;Cours;Nom;YahooName;Remarques
314;2022-03-22 00:00:00;Coupons;45;2.09;0.046444444;STMICROELECTRONICS;;
315;2022-03-30 00:00:00;Achat;16;100.44;6.2775;EDF;;Souscription EDF à laquelle il restait quelque parts d'une valeur de 1,16€ que j'ai supprimé de l'opération du coup
316;2022-03-31 00:00:00;Solde;;412.17;;;;
317;2022-04-04 00:00:00;Coupons;51;33.66;0.66;TOTAL;;
318;2022-04-20 00:00:00;Virement;;560;;;;
319;2022-04-20 00:00:00;Achat;13;474.78;36.52153846;UBISOFT;;
320;2022-04-21 00:00:00;Coupons;40;51;1.275;AIRBUS;;
321;2022-04-27 00:00:00;Coupons;127;107.95;0.85;ENGIE;;
322;2022-04-28 00:00:00;Coupons;16;36;2.25;VINCI;;
323;2022-04-29 00:00:00;Coupons;52;45.97;0.884038462;STELLANTIS;;
324;2022-04-30 00:00:00;Solde;;771.97;;;;
325;2022-05-02 00:00:00;Coupons;38;47.12;1.24;FDJ;;
326;2022-05-03 00:00:00;Coupons;1;8.5;8.5;KERING;;
327;2022-05-03 00:00:00;Coupons;15;27;1.8;BOUYGUES;;
328;2022-05-06 00:00:00;Coupons;67;103.18;1.54;AXA;;
329;2022-05-06 00:00:00;Coupons;12;39.96;3.33;SANOFI;;
330;2022-05-09 00:00:00;Coupons;244;4.88;0.02;NOKIA;;
331;2022-05-16 00:00:00;Coupons;5;15.5;3.1;EIFFAGE;;
332;2022-05-17 00:00:00;Coupons;44;49.5;1.125;MICHELIN;;
333;2022-05-19 00:00:00;Coupons;123;34.44;0.28;EDF;;
334;2022-05-19 00:00:00;RachatDiv;4;29.76;7.44;EDF;;
335;2022-05-23 00:00:00;Coupons;25;4.25;0.17;DASSAULT SYSTEMES;;
336;2022-05-23 00:00:00;Coupons;37;135.79;3.67;BNP;;
337;2022-05-25 00:00:00;Coupons;93;153.45;1.65;SOCIETE GENERALE;;
338;2022-05-30 00:00:00;Coupons;47;49.35;1.05;CREDIT AGRICOLE;;
339;2022-05-31 00:00:00;Coupons;24;12;0.5;SAFRAN;;
340;2022-06-01 00:00:00;Coupons;5;12;2.4;CAPGEMINI;;
341;2022-06-01 00:00:00;Coupons;15;14.25;0.95;BOIRON;;
342;2022-06-03 00:00:00;Coupons;25;62.5;2.5;ERAMET;;
343;2022-06-06 00:00:00;Coupons;14;22.82;1.63;SAINT-GOBAIN;;
344;2022-06-07 00:00:00;Coupons;20;18;0.9;EDENRED;;
345;2022-06-07 00:00:00;Coupons;120;48;0.4;ORANGE;;
346;2022-06-08 00:00:00;Achat;100;641;6.41;BROADPEAK;J73.F;Introduction
347;2022-06-20 00:00:00;Coupons;45;2.18;0.048444444;STMICROELECTRONICS;;
348;2022-06-23 00:00:00;Coupons;16;1.6;0.1;NEOEN;;
